igralec,ekipa,passing_yards,passing_td,passing_att,passing_cmp,passing_int,sacks,rushing_yards,rushing_td,rushing_att,fumbles,receiving_yards,receiving_td,receptions,targets,def_interceptions,def_sacks,pozicija,starost,tekme
A'Shawn Robinson,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,30,17
A.J. Brown,PHI,0,0,0,0,0,0,0,0,0,0,1003,7,78,121,0,0,WR,28,15
A.J. Epenesa,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,DE,27,16
A.J. Green,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,27,3
AJ Barner,SEA,0,0,0,0,0,0,14,1,10,2,519,6,52,68,0,0,TE,23,17
AJ Cole III,LVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,30,17
AJ Dillon,PHI,0,0,0,0,0,0,60,0,12,1,21,0,3,3,0,0,RB,27,7
AJ Terrell,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,27,15
Aaron Brewer,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LS,35,17
Aaron Jones,MIN,0,0,0,0,0,0,548,2,132,2,199,1,28,41,0,0,RB,31,12
Aaron Rodgers,PIT,3322,24,498,327,7,29,61,1,21,4,-9,0,1,1,0,0,QB,42,16
Abdul Carter,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OLB,22,17
Adam Butler,LVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,31,15
Adam Prentice,DEN,0,0,0,0,0,0,44,0,10,0,53,0,6,8,0,0,FB,28,17
Adam Thielen,2TM,0,0,0,0,0,0,0,0,0,0,186,0,19,35,0,0,WR,35,16
Adam Trautman,DEN,0,0,0,0,0,0,0,0,0,0,195,1,20,23,0,0,TE,28,17
Adetomiwa Adebawore,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,24,17
Adin Huntington,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,23,13
Adonai Mitchell,2TM,0,0,0,0,0,0,-4,0,1,1,453,2,33,74,0,0,WR,23,16
Adonai Mitchell,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,23,8
Adoree' Jackson,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CB,30,14
Adrian Martinez,SFO,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,QB,25,1
Aeneas Peebles,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,24,6
Ahkello Witherspoon,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CB,30,6
